panid	units	On	Sdate	Zon	A0_5	A6_18	A19_65	A65	Gen	FS	ABS	C_Dis	MFSD	price1	price2	price3	price4	price5	price6	price7	price8	br1	br2	br3	br4	br5	br6	br7	br8	NP
2	0	0	15978	1	0	1	3	0	1	4	76.38	0.1	0.1	0.59	0.99	2.16	1.39	0.91	0.65	2.16	2.49	0	0	0	0	0	0	0	0	1
2	1	0	15984	1	0	1	3	0	1	4	76.38	0.1	0.1	0.59	0.99	2.16	1.39	0.91	0.65	2.16	2.49	0	0	1	0	0	0	0	0	0
2	0	0	15987	2	0	1	3	0	1	4	76.38	0.1	0.1	0.59	0.99	2.22	1.39	0.94	0.65	2.22	2.55	0	0	0	0	0	0	0	0	1
2	0	1	15994	3	0	1	3	0	1	4	76.38	0.1	0.1	0.59	0.99	2.22	1.39	0.94	0.65	2.22	2.55	0	0	0	0	0	0	0	0	1
2	0	0	15998	1	0	1	3	0	1	4	76.38	0.1	0.1	0.59	1.06	2.16	1.39	0.91	0.65	2.16	2.55	0	0	0	0	0	0	0	0	1
2	0	0	16008	1	0	1	3	0	1	4	76.38	0.1	0.1	0.59	0.99	2.16	1.39	0.91	0.71	2.16	2.19	0	0	0	0	0	0	0	0	1
2	0	0	16015	1	0	1	3	0	1	4	76.38	0.1	0.1	0.68	1.06	2.16	1.39	0.91	0.69	2.16	2.19	0	0	0	0	0	0	0	0	1
2	0	1	16019	3	0	1	3	0	1	4	76.38	0.1	0.1	0.71	1.11	2.22	1.45	0.94	0.71	2.22	2.19	0	0	0	0	0	0	0	0	1
5	0	0	15677	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	1.06	2.16	1.35	0.97	0.65	2.16	2.35	0	0	0	0	0	0	0	0	1
5	0	0	15681	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	1.06	2.16	1.35	0.97	0.65	2.16	2.35	0	0	0	0	0	0	0	0	1
5	0	0	15684	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	1.06	2.16	1.35	0.97	0.78	2.16	2.35	0	0	0	0	0	0	0	0	1
5	0	0	15688	2	0	0	5	0	0	5	65.17	0.6	1.1	0.71	1.11	2.22	1.41	1.00	0.81	2.22	2.45	0	0	0	0	0	0	0	0	1
5	0	0	15691	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	1.06	2.16	1.35	0.97	0.78	2.16	2.35	0	0	0	0	0	0	0	0	1
5	0	0	15693	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	1.06	2.16	1.35	0.97	0.78	2.16	2.35	0	0	0	0	0	0	0	0	1
5	0	0	15695	2	0	0	5	0	0	5	65.17	0.6	1.1	0.71	1.11	2.22	1.35	1.00	0.81	2.22	2.45	0	0	0	0	0	0	0	0	1
5	0	0	15698	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	1.06	2.16	1.35	0.97	0.78	2.16	2.35	0	0	0	0	0	0	0	0	1
5	1	0	15702	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	1.06	2.16	1.35	0.97	0.78	2.16	2.35	0	0	0	0	0	0	1	0	0
5	0	0	15705	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	1.06	2.16	1.35	0.97	0.78	2.16	2.35	0	0	0	0	0	0	0	0	1
5	0	0	15709	2	0	0	5	0	0	5	65.17	0.6	1.1	0.71	1.11	2.22	1.35	1.00	0.81	2.22	2.45	0	0	0	0	0	0	0	0	1
5	0	0	15714	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	1.06	2.16	1.35	0.97	0.78	2.16	2.35	0	0	0	0	0	0	0	0	1
5	0	0	15716	2	0	0	5	0	0	5	65.17	0.6	1.1	0.71	1.11	2.22	1.41	1.00	0.81	2.22	2.45	0	0	0	0	0	0	0	0	1
5	0	0	15722	2	0	0	5	0	0	5	65.17	0.6	1.1	0.71	1.11	2.22	1.41	1.00	0.81	2.22	2.45	0	0	0	0	0	0	0	0	1
5	0	0	15723	2	0	0	5	0	0	5	65.17	0.6	1.1	0.71	1.11	2.22	1.41	1.00	0.81	2.22	2.45	0	0	0	0	0	0	0	0	1
5	0	0	15729	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	1.06	2.16	1.35	0.97	0.78	2.16	2.35	0	0	0	0	0	0	0	0	1
5	0	0	15730	2	0	0	5	0	0	5	65.17	0.6	1.1	0.71	1.11	2.22	1.41	1.00	0.81	2.22	2.45	0	0	0	0	0	0	0	0	1
5	0	0	15735	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	1.06	2.16	1.35	0.97	0.78	2.16	2.35	0	0	0	0	0	0	0	0	1
5	0	0	15744	2	0	0	5	0	0	5	65.17	0.6	1.1	0.66	0.99	1.99	1.35	1.00	0.69	2.22	2.45	0	0	0	0	0	0	0	0	1
5	0	0	15749	2	0	0	5	0	0	5	65.17	0.6	1.1	0.66	0.99	1.99	1.35	1.00	0.69	2.22	2.55	0	0	0	0	0	0	0	0	1
5	0	0	15753	1	0	0	5	0	0	5	65.17	0.6	1.1	0.66	1.06	1.99	1.35	0.91	0.78	2.16	2.49	0	0	0	0	0	0	0	0	1
5	0	0	15757	1	0	0	5	0	0	5	65.17	0.6	1.1	0.66	1.06	1.99	1.35	0.91	0.78	2.16	2.49	0	0	0	0	0	0	0	0	1
5	0	0	15758	2	0	0	5	0	0	5	65.17	0.6	1.1	0.66	0.99	1.99	1.35	1.00	0.69	2.22	2.55	0	0	0	0	0	0	0	0	1
5	0	0	15763	2	0	0	5	0	0	5	65.17	0.6	1.1	0.66	0.99	1.99	1.35	1.00	0.69	2.22	2.55	0	0	0	0	0	0	0	0	1
5	0	0	15765	2	0	0	5	0	0	5	65.17	0.6	1.1	0.66	0.99	1.99	1.35	1.00	0.69	2.22	2.55	0	0	0	0	0	0	0	0	1
5	1	0	15769	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	0.99	2.16	1.35	0.91	0.78	2.16	2.49	1	0	0	0	0	0	0	0	0
5	0	0	15778	2	0	0	5	0	0	5	65.17	0.6	1.1	0.71	0.99	2.22	1.41	0.94	0.81	2.22	2.55	0	0	0	0	0	0	0	0	1
5	0	0	15785	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	0.99	2.16	1.35	0.91	0.78	2.16	2.49	0	0	0	0	0	0	0	0	1
5	0	0	15793	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	0.99	2.16	1.35	0.91	0.78	2.16	2.49	0	0	0	0	0	0	0	0	1
5	1	0	15800	2	0	0	5	0	0	5	65.17	0.6	1.1	0.71	1.11	2.22	1.41	0.84	0.69	2.22	2.19	0	0	0	0	0	0	1	0	0
5	2	0	15807	2	0	0	5	0	0	5	65.17	0.6	1.1	0.71	1.11	2.22	1.45	0.84	0.69	2.22	2.19	0	0	0	0	0	0	0	1	0
5	0	0	15818	1	0	0	5	0	0	5	65.17	0.6	1.1	0.68	1.06	2.16	1.39	0.84	0.69	2.16	2.19	0	0	0	0	0	0	0	0	1
5	0	0	15832	1	0	0	5	0	0	5	65.17	0.6	1.1	0.66	1.06	2.16	1.39	0.91	0.73	2.16	2.49	0	0	0	0	0	0	0	0	1
